"age","power","N"
79,38,0
53,29,0
41,32,0
20,24,0
54,12,0
30,38,0
77,36,1
29,30,0
55,63,0
43,39,0
56,25,0
43,55,0
27,63,0
68,39,0
48,69,0
33,19,0
37,29,0
32,24,0
60,16,0
31,54,0
74,65,0
22,47,0
63,12,0
62,20,0
56,14,0
72,14,0
59,25,0
66,61,0
20,63,0
28,52,0
70,14,0
73,51,0
34,65,0
75,40,0
64,32,0
51,24,1
47,21,0
36,62,1
23,36,0
59,50,0
52,13,0
62,12,1
40,40,0
28,24,0
76,15,0
51,69,0
32,33,0
64,17,0
29,36,1
23,20,0
78,65,0
22,55,0
25,67,2
25,15,0
62,69,1
65,22,0
75,56,1
39,60,0
71,56,0
33,66,0
34,28,0
76,23,0
47,28,0
45,33,0
58,43,0
44,59,0
27,46,0
43,35,0
20,21,0
61,65,0
73,60,2
21,64,0
24,35,0
30,25,1
35,12,0
50,65,0
49,30,0
61,57,0
22,51,0
26,50,0
61,51,0
72,20,0
62,17,0
47,26,0
76,30,0
78,25,0
27,36,0
24,23,0
59,35,0
44,54,0
47,53,0
37,42,0
28,39,0
56,70,0
77,51,0
22,52,1
21,33,0
61,61,0
72,28,0
65,28,0
38,56,0
55,59,0
53,10,0
29,21,0
58,13,0
26,32,0
29,11,0
56,22,0
66,59,2
51,48,0
38,15,0
64,47,0
30,57,0
33,40,0
37,34,0
71,45,2
65,17,0
69,24,0
21,50,1
33,44,0
69,25,0
60,36,0
79,61,0
61,20,0
30,45,1
36,42,0
46,54,0
71,20,0
28,14,0
80,25,0
62,44,0
26,17,0
69,28,0
60,57,0
64,28,0
78,70,0
70,38,0
62,44,0
35,19,0
70,22,0
77,22,0
30,46,0
77,18,0
35,14,0
37,49,0
78,63,0
59,56,0
20,23,0
79,47,0
20,33,0
79,58,0
58,60,0
25,12,0
21,13,0
41,51,0
28,59,0
72,49,0
39,29,0
60,48,0
57,38,0
52,64,0
74,20,0
26,11,0
68,21,0
57,42,0
35,62,1
58,34,0
44,17,0
28,66,0
28,47,0
57,36,0
61,67,0
62,33,0
63,63,0
63,18,0
56,55,0
68,13,0
51,29,0
55,56,0
38,32,0
42,16,0
74,58,0
66,59,0
37,49,0
47,33,0
23,19,1
43,46,0
67,22,0
20,43,0
50,47,0
51,23,0
68,36,0
57,35,0
74,56,0
39,61,0
35,61,0
40,67,0
70,56,0
43,49,0
64,34,0
41,56,0
66,21,0
25,45,0
64,51,0
46,68,0
72,42,1
80,70,0
68,44,1
77,62,0
42,68,0
75,59,1
60,11,0
70,11,0
77,28,0
57,46,1
31,57,1
79,43,0
67,29,0
65,43,0
53,21,0
77,20,0
79,61,0
56,70,0
22,15,0
49,28,0
28,54,1
78,58,0
65,33,0
31,24,0
58,22,0
70,54,0
69,17,1
28,15,0
49,21,0
33,31,0
69,30,0
50,55,0
44,52,0
61,56,0
30,13,1
47,61,0
47,55,0
63,19,0
42,70,0
28,22,0
49,33,0
80,49,0
50,45,0
76,36,0
53,38,0
42,47,0
64,24,0
35,12,0
35,50,0
41,28,0
42,65,0
65,44,0
51,22,0
40,22,0
60,33,0
37,35,0
60,14,0
52,68,0
27,68,1
60,59,1
28,11,0
51,60,0
44,56,0
47,44,0
29,16,0
39,49,0
51,52,0
53,24,0
52,53,0
78,25,0
50,56,0
54,26,1
47,38,0
59,26,0
53,19,0
44,62,2
44,63,0
21,51,0
78,13,0
37,20,0
78,13,0
50,57,0
76,28,0
46,54,1
29,55,0
76,10,0
80,70,0
74,37,0
46,52,0
48,21,0
71,41,0
28,41,0
57,32,0
34,19,0
62,31,0
34,47,0
31,69,0
54,50,1
47,63,1
69,23,0
24,61,0
38,27,1
37,15,0
24,57,0
34,60,0
65,40,0
76,49,0
43,27,0
73,17,1
78,35,0
28,10,0
79,38,0
65,64,2
20,14,0
22,61,0
24,52,0
78,20,0
48,58,0
39,22,0
26,22,0
71,48,0
55,39,0
67,58,0
62,56,1
74,11,0
60,43,0
46,61,0
45,10,0
43,10,0
51,11,0
72,51,1
39,40,0
65,39,0
49,26,0
24,44,1
59,47,0
69,11,0
54,57,0
53,24,0
49,62,1
37,41,0
67,35,0
37,67,0
59,10,0
50,52,0
69,49,0
37,62,0
46,61,0
51,13,0
59,30,1
55,47,0
41,63,0
51,29,0
64,14,0
34,49,0
21,47,0
66,28,0
35,27,0
58,67,0
51,67,0
33,13,0
59,33,0
21,16,0
40,42,0
29,35,0
61,54,0
80,33,0
29,35,0
61,42,0
53,50,0
49,21,0
20,13,1
66,67,1
78,42,0
62,61,0
56,14,0
54,38,0
66,31,0
58,56,0
47,22,0
57,21,0
57,58,0
28,12,0
55,38,0
61,59,0
53,15,0
39,10,0
22,46,0
33,64,0
43,65,0
22,12,0
56,62,0
25,54,0
70,30,0
38,28,0
53,18,0
45,19,0
77,18,0
76,41,0
47,67,0
52,13,0
79,43,0
31,31,0
64,65,0
39,30,0
62,68,0
58,24,0
37,15,1
30,53,0
47,55,0
74,63,1
62,51,0
80,49,1
29,54,0
74,57,0
60,14,0
54,67,0
75,16,0
45,39,0
28,21,0
71,19,0
39,19,1
28,57,0
58,10,0
26,15,0
70,23,0
32,28,0
67,34,0
31,66,0
34,66,0
55,64,0
79,10,0
28,52,0
39,11,0
27,63,0
70,54,0
73,41,0
41,12,0
59,29,0
32,56,0
31,61,1
71,10,0
64,54,0
76,48,0
36,21,0
28,31,0
23,42,0
35,20,0
26,51,1
51,11,0
73,30,0
60,45,0
71,44,0
79,27,0
34,68,0
42,51,0
63,25,0
42,40,0
28,65,0
64,47,0
71,57,0
51,30,0
74,66,0
44,47,0
58,50,0
41,53,0
29,28,0
73,50,0
46,29,0
28,22,0
67,55,0
56,45,0
38,56,0
43,21,0
75,24,0
57,68,0
30,32,0
76,52,0
42,28,0
63,59,0
52,38,0
31,12,0
61,25,0
78,36,1
27,52,0
29,33,0
37,25,0
45,66,0
29,26,0
32,20,0
27,66,0
66,53,1
59,11,0
35,38,0
40,24,0
75,24,0
45,36,0
55,45,0
70,32,0
43,32,0
42,18,0
68,53,0
41,59,0
61,55,0
52,44,0
22,29,0
67,47,0
31,43,0
59,62,0
56,32,0
73,64,0
33,47,0
52,28,0
34,22,0
50,53,0
42,49,0
46,52,0
42,68,0
57,57,0
38,47,0
61,18,0
33,18,0
61,60,0
72,19,0
74,63,0
67,15,0
40,39,0
61,27,0
57,50,0
55,46,0
57,16,0
54,13,0
53,64,1
54,46,0
44,14,0
79,21,0
47,31,0
68,12,0
26,16,1
47,35,0
39,27,0
51,46,0
52,64,0
30,18,0
37,32,1
75,19,0
47,20,0
61,46,0
79,15,0
33,15,0
76,40,0
26,21,0
77,32,0
62,46,0
27,22,1
34,22,0
20,12,0
55,23,0
73,53,0
25,46,1
54,20,0
66,68,0
24,24,1
38,45,0
32,24,0
25,35,2
67,64,0
77,38,0
76,61,0
55,39,0
27,56,0
55,58,0
65,38,0
71,16,0
25,23,1
74,65,0
56,53,0
59,34,0
71,14,0
53,30,0
52,50,0
27,23,0
72,20,0
67,61,0
71,52,0
44,59,0
38,50,0
79,24,0
25,47,0
72,22,0
25,64,0
47,70,0
60,32,0
62,31,0
38,61,1
70,36,0
47,16,0
65,43,0
47,70,0
44,62,0
64,14,0
53,17,0
23,49,0
67,12,0
27,45,0
46,29,0
24,31,0
44,30,0
72,65,0
22,45,0
73,42,0
35,70,1
45,40,0
38,24,0
75,32,0
50,63,0
43,37,0
23,31,0
46,23,0
30,70,0
26,65,0
64,45,0
64,37,0
75,18,0
74,17,0
44,15,0
67,60,0
40,36,0
44,57,0
54,57,0
47,48,0
25,53,0
77,43,0
21,15,0
34,16,0
65,38,0
80,28,0
28,44,0
38,31,0
22,41,0
41,60,0
68,13,0
55,22,0
58,37,0
68,70,0
49,37,0
25,30,1
80,69,0
42,32,0
23,28,1
30,19,1
72,43,0
54,14,0
77,70,0
61,26,0
65,19,0
21,11,0
51,66,0
21,63,0
66,62,0
61,25,0
34,48,0
45,56,0
32,29,0
42,14,0
80,36,0
49,13,0
64,32,0
49,23,0
49,57,0
67,29,0
60,36,0
74,63,0
24,10,0
38,67,0
25,51,0
75,14,0
61,41,0
71,12,2
45,62,0
47,15,0
37,48,1
55,30,0
23,58,0
25,34,0
42,50,0
25,53,0
30,12,0
41,18,0
30,24,0
79,65,0
58,25,0
55,37,0
52,64,0
71,43,0
79,20,1
79,36,2
50,13,0
58,16,0
65,38,0
24,54,0
77,28,0
32,51,0
45,50,0
38,33,0
65,62,0
65,25,0
65,54,0
63,66,0
25,14,0
34,33,0
20,35,2
76,25,0
29,55,1
35,18,0
79,56,0
57,27,0
80,13,0
52,42,0
70,60,0
67,20,0
41,57,0
48,50,0
28,33,0
72,60,0
65,58,0
45,14,0
36,17,0
55,40,0
51,29,1
23,21,0
50,10,0
31,18,0
69,28,0
76,42,0
37,67,0
48,67,0
52,11,0
50,10,0
73,43,0
47,53,0
31,32,1
65,45,0
72,46,0
29,69,0
57,20,0
33,56,0
78,13,0
59,25,0
28,23,0
68,43,0
61,47,0
61,13,0
47,67,0
34,47,0
62,36,1
65,50,0
46,56,0
30,47,0
37,58,1
34,28,0
65,19,1
51,69,0
63,18,0
21,32,0
49,12,0
40,24,0
28,61,0
39,64,0
31,61,2
60,20,0
71,56,0
75,42,0
40,61,0
22,65,0
24,34,0
51,43,0
30,46,0
35,33,0
33,49,0
30,45,0
75,42,0
36,37,0
73,16,0
55,12,0
57,55,0
38,35,0
39,55,0
32,39,0
22,27,0
36,69,2
34,51,0
67,49,0
77,41,0
29,67,0
66,38,0
63,17,0
34,48,0
37,34,0
80,31,0
76,36,0
27,69,0
49,20,0
37,31,0
49,58,0
49,52,0
48,51,0
55,10,0
54,51,0
50,10,0
27,52,0
27,66,1
67,68,0
73,59,0
33,30,0
37,51,0
58,21,0
67,41,0
59,26,0
62,47,1
65,37,0
58,54,0
67,21,0
62,22,0
79,16,0
48,38,0
60,51,2
79,16,0
57,63,0
